;name;category;level;description;input;output;has_images;s_level;submissions;solved;ratio
1001;Extremely Basic;Beginner;5;Read 2 variables, named A and B and make the sum of these two variables, assigning its result to the variable X. Print X as shown below. Print endline after the result otherwise you will get “Presentation Error”.;The input file will contain 2 integer numbers.;Print the letter X (uppercase) with a blank space before and after the equal signal followed by the value of X, according to the following example.   Obs.: don't forget the endline after all.;False;5 / 10;816938;236060;28.90%
1002;Area of a Circle;Beginner;5;"The formula to calculate the area of a circumference is defined as A = π . R2. Considering to this problem that π = 3.14159:
                
                    Calculate the area using the formula given in the problem description.";The input contains a value of floating point (double precision), that is the variable R.;"Present the message ""A="" followed by the value of the variable, as in the example bellow, with four places after the decimal point. Use all double precision variables. Like all the problems, don't forget to print the end of line after the result, otherwise you will receive ""Presentation Error"".";False;5 / 10;650389;166254;25.56%
1003;Simple Sum;Beginner;2;Read two integer values, in this case, the variables A and B. After this, calculate the sum between them and assign it to the variable SOMA. Write the value of this variable.;The input file contains 2 integer numbers.;"Print the variable SOMA with all the capital letters, with a blank space before and after the equal signal followed by the corresponding value to the sum of A and B. Like all the problems, don't forget to print the end of line, otherwise you will receive ""Presentation Error""";False;2 / 10;313933;165940;52.86%
1004;Simple Product;Beginner;1;Read two integer values. After this, calculate the product between them and store the result in a variable named PROD. Print the result like the example below. Do not forget to print the end of line after the result, otherwise you will receive “Presentation Error”.;The input file contains 2 integer numbers.;Print PROD according to the following example, with a blank space before and after the equal signal.;False;1 / 10;238645;158387;66.37%
1005;Average 1;Beginner;4;Read two floating points' values of double precision A and B, corresponding to two student's grades. After this, calculate the student's average, considering that grade A has weight 3.5 and B has weight 7.5. Each grade can be from zero to ten, always with one digit after the decimal point. Don’t forget to print the end of line after the result, otherwise you will receive “Presentation Error”. Don’t forget the space before and after the equal sign.;The input file contains 2 floating points' values with one digit after the decimal point.;Print MEDIA(average in Portuguese) according to the following example, with 5 digits after the decimal point and with a blank space before and after the equal signal.;False;4 / 10;342625;136210;39.75%
1006;Average 2;Beginner;2;Read three values (variables A, B and C), which are the three student's grades. Then, calculate the average, considering that grade A has weight 2, grade B has weight 3 and the grade C has weight 5. Consider that each grade can go from 0 to 10.0, always with one decimal place.;The input file contains 3 values of floating points with one digit after the decimal point.;Print MEDIA(average in Portuguese) according to the following example, with a blank space before and after the equal signal.;False;2 / 10;224815;128360;57.10%
1007;Difference;Beginner;2;Read four integer values named A, B, C and D. Calculate and print the difference of product A and B by the product of C and D (A * B - C * D).;The input file contains 4 integer values.;Print DIFERENCA (DIFFERENCE in Portuguese) with all the capital letters, according to the following example, with a blank space before and after the equal signal.;False;2 / 10;228747;135515;59.24%
1008;Salary;Beginner;4;"Write a program that reads an employee's number, his/her worked hours number in a month and the amount he received per hour. Print the employee's number and salary that he/she will receive at end of the month, with two decimal places.
                
                
                
                    Don’t forget to print the line's end after the result, otherwise you will receive “Presentation Error”.
                    Don’t forget the space before and after the equal signal and after the U$.";The input file contains 2 integer numbers and 1 value of floating point, representing the number, worked hours amount and the amount the employee receives per worked hour.;Print the number and the employee's salary, according to the given example, with a blank space before and after the equal signal.;False;4 / 10;285082;125968;44.19%
1009;Salary with Bonus;Beginner;3;"Make a program that reads a seller's name, his/her fixed salary and the sale's total made by himself/herself in the month (in money). Considering that this seller receives 15% over all products sold, write the final salary (total) of this seller at the end of the month , with two decimal places.
                
                    - Don’t forget to print the line's end after the result, otherwise you will receive “Presentation Error”.
                    - Don’t forget the blank spaces.";The input file contains a text (employee's first name), and two double precision values, that are the seller's salary  and the total value sold by him/her.;Print the seller's total salary, according to the given example.;False;3 / 10;254206;112146;44.12%
1010;Simple Calculate;Beginner;3;In this problem, the task is to read a code of a product 1, the number of units of product 1, the price for one unit of product 1, the code of a product 2, the number of units of product 2 and the price for one unit of product 2. After this, calculate and show the amount to be paid.;The input file contains two lines of data. In each line there will be 3 values: two integers and a floating value with 2 digits after the decimal point.;"The output file must be a message like the following example where ""Valor a pagar"" means Value to Pay. Remember the space after "":"" and after ""R$"" symbol. The value must be presented with 2 digits after the point.";False;3 / 10;217070;106371;49.00%
