;name;category;level;description;input;output;has_images;s_level;submissions;solved;ratio
1001;Extremamente Básico;Iniciante;5;"Leia 2 valores inteiros e armazene-os nas variáveis A e B. Efetue a soma de A e B atribuindo o seu resultado na variável X. Imprima X conforme exemplo apresentado abaixo. Não apresente mensagem alguma além daquilo que está sendo especificado e não esqueça de imprimir o fim de linha após o resultado, caso contrário, você receberá ""Presentation Error"".";A entrada contém 2 valores inteiros.;"Imprima a mensagem ""X = "" (letra X maiúscula) seguido pelo valor da variável  X  e pelo final de linha. Cuide para que tenha um espaço antes e depois do sinal de igualdade, conforme o exemplo abaixo.";False;5 / 10;816938;236060;28.90%
1002;Área do Círculo;Iniciante;5;"A fórmula para calcular a área de uma circunferência é: area = π . raio2. Considerando para este problema que π =  3.14159:
    
	- Efetue o cálculo da área, elevando o valor de raio ao quadrado e multiplicando por π.";A entrada contém um valor de ponto flutuante (dupla precisão), no caso, a variável raio.;"Apresentar a mensagem ""A="" seguido pelo valor da variável area, conforme exemplo abaixo, com 4 casas após o ponto decimal. Utilize variáveis de dupla precisão (double). Como todos os problemas, não esqueça de imprimir o fim de linha após o resultado, caso contrário, você receberá ""Presentation Error"".";False;5 / 10;650389;166254;25.56%
1003;Soma Simples;Iniciante;2;Leia dois valores inteiros, no caso para variáveis A e B. A seguir, calcule a soma entre elas e atribua à variável SOMA. A seguir escrever o valor desta variável.;O arquivo de entrada contém 2 valores inteiros.;"Imprima a variável SOMA com todas as letras maiúsculas, com um espaço em branco antes e depois da igualdade seguido pelo valor correspondente à soma de A e B. Como todos os problemas, não esqueça de imprimir o fim de linha após o resultado, caso contrário, você receberá ""Presentation Error"".";False;2 / 10;313933;165940;52.86%
1004;Produto Simples;Iniciante;1;Leia dois valores inteiros. A seguir, calcule o produto entre estes dois valores e atribua esta operação à variável PROD. A seguir mostre a variável PROD com mensagem correspondente.   ;O arquivo de entrada contém 2 valores inteiros.;Imprima a variável PROD conforme exemplo abaixo, com um espaço em branco antes e depois da igualdade. Não esqueça de imprimir o fim de linha após o produto, caso contrário seu programa apresentará a mensagem: “Presentation Error”.;False;1 / 10;238645;158387;66.37%
1005;Média 1;Iniciante;4;Leia 2 valores de ponto flutuante de dupla precisão A e B, que correspondem a 2 notas de um aluno. A seguir, calcule a média do aluno, sabendo que a nota A tem peso 3.5 e a nota B tem peso 7.5 (A soma dos pesos portanto é 11). Assuma que cada nota pode ir de 0 até 10.0, sempre com uma casa decimal.;O arquivo de entrada contém 2 valores com uma casa decimal cada um.;"Calcule e imprima a variável MEDIA conforme exemplo abaixo, com 5 dígitos após o ponto decimal e com um espaço em branco antes e depois da igualdade. Utilize variáveis de dupla precisão (double) e como todos os problemas, não esqueça de imprimir o fim de linha após o resultado, caso contrário, você receberá ""Presentation Error"".";False;4 / 10;342625;136210;39.75%
1006;Média 2;Iniciante;2;Leia 3 valores, no caso, variáveis A, B e C, que são as três notas de um aluno. A seguir, calcule a média do aluno, sabendo que a nota A tem peso 2, a nota B tem peso 3 e a nota C tem peso 5. Considere que cada nota pode ir de 0 até 10.0, sempre com uma casa decimal.;O arquivo de entrada contém 3 valores com uma casa decimal, de dupla precisão (double).;"Imprima a variável MEDIA conforme exemplo abaixo, com 1 dígito após o ponto decimal e com um espaço em branco antes e depois da igualdade. Assim como todos os problemas, não esqueça de imprimir o fim de linha após o resultado, caso contrário, você receberá ""Presentation Error"".";False;2 / 10;224815;128360;57.10%
1007;Diferença;Iniciante;2;Leia quatro valores inteiros A, B, C e D. A seguir, calcule e mostre a diferença do produto de A e B pelo produto de C e D segundo a fórmula: DIFERENCA = (A * B - C * D).;O arquivo de entrada contém 4 valores inteiros.;Imprima a mensagem DIFERENCA com todas as letras maiúsculas, conforme exemplo abaixo, com um espaço em branco antes e depois da igualdade.;False;2 / 10;228747;135515;59.24%
1008;Salário;Iniciante;4;Escreva um programa que leia o número de um funcionário, seu número de horas trabalhadas, o valor que recebe por hora e calcula o salário desse funcionário. A seguir, mostre o número e o salário do funcionário, com duas casas decimais.;O arquivo de entrada contém 2 números inteiros e 1 número com duas casas decimais, representando o número, quantidade de horas trabalhadas e o valor que o funcionário recebe por hora trabalhada, respectivamente.;Imprima o número e o salário do funcionário, conforme exemplo fornecido, com um espaço em branco antes e depois da igualdade. No caso do salário, também deve haver um espaço em branco após o $.;False;4 / 10;285082;125968;44.19%
1009;Salário com Bônus;Iniciante;3;Faça um programa que leia o nome de um vendedor, o seu salário fixo e o total de vendas efetuadas por ele no mês (em dinheiro). Sabendo que este vendedor ganha 15% de comissão sobre suas vendas efetuadas, informar o total a receber no final do mês, com duas casas decimais.;O arquivo de entrada contém um texto (primeiro nome do vendedor) e 2 valores de dupla precisão (double) com duas casas decimais, representando o salário fixo do vendedor e montante total das vendas efetuadas por este vendedor, respectivamente.;Imprima o total que o funcionário deverá receber, conforme exemplo fornecido.;False;3 / 10;254206;112146;44.12%
1010;Cálculo Simples;Iniciante;3;Neste problema, deve-se ler o código de uma peça 1, o número de peças 1, o valor unitário de cada peça 1, o código de uma peça 2, o número de peças 2 e o valor unitário de cada peça 2. Após, calcule e mostre o valor a ser pago.;O arquivo de entrada contém duas linhas de dados. Em cada linha haverá 3 valores, respectivamente dois inteiros e um valor com 2 casas decimais.;"A saída deverá ser uma mensagem conforme o exemplo fornecido abaixo, lembrando de deixar um espaço após os dois pontos e um espaço após o ""R$"". O valor deverá ser apresentado com 2 casas após o ponto.";False;3 / 10;217070;106371;49.00%
